               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 103,            0.018611,            0.014083,           0.0015708,             0.99726,             0.99539,             0.99498,             0.78434,            0.017532,            0.011343,          0.00092755,           0.0094951,           0.0094951,           0.0094951
                 104,             0.01786,            0.014277,           0.0013811,             0.99773,             0.99579,             0.99499,             0.78193,            0.017553,            0.011235,          0.00091965,           0.0094902,           0.0094902,           0.0094902
                 105,            0.018384,             0.01415,            0.001491,             0.99846,             0.99646,             0.99499,             0.78487,             0.01779,              0.0113,          0.00090907,           0.0094852,           0.0094852,           0.0094852
                 106,            0.018559,            0.013894,           0.0014553,             0.99847,             0.99668,             0.99493,              0.7848,            0.017539,            0.011206,           0.0010321,           0.0094803,           0.0094803,           0.0094803
                 107,            0.018832,            0.014547,           0.0016143,             0.99861,             0.99318,             0.99496,             0.75927,             0.01814,            0.011472,           0.0010583,           0.0094753,           0.0094753,           0.0094753
                 108,            0.018077,            0.014175,           0.0016073,             0.99747,             0.99553,             0.99494,             0.78444,            0.017178,            0.011194,          0.00096077,           0.0094704,           0.0094704,           0.0094704
                 109,            0.018147,            0.014251,           0.0019453,             0.99863,             0.99557,             0.99499,             0.76859,            0.018174,             0.01154,           0.0009835,           0.0094654,           0.0094654,           0.0094654
                 110,              0.0176,            0.013918,            0.001585,             0.99863,             0.99605,             0.99498,             0.77929,            0.017436,            0.011218,          0.00096412,           0.0094605,           0.0094605,           0.0094605
                 111,            0.018009,             0.01447,           0.0016801,              0.9973,             0.99556,             0.99494,             0.77383,             0.01766,            0.011191,          0.00087934,           0.0094555,           0.0094555,           0.0094555
                 112,            0.018362,            0.013875,           0.0014217,             0.99644,             0.99597,             0.99497,             0.77482,            0.017934,            0.011279,          0.00087585,           0.0094506,           0.0094506,           0.0094506
                 113,             0.01807,            0.013907,           0.0015157,             0.99763,             0.99352,             0.99496,             0.77857,            0.017624,            0.011261,          0.00094533,           0.0094456,           0.0094456,           0.0094456
                 114,            0.018793,            0.014462,           0.0015515,             0.99618,             0.99446,             0.99494,             0.78741,            0.017315,            0.011153,          0.00085718,           0.0094407,           0.0094407,           0.0094407
                 115,            0.017597,            0.013711,           0.0014032,             0.99818,             0.99224,             0.99488,             0.77183,            0.017974,            0.011423,           0.0010406,           0.0094357,           0.0094357,           0.0094357
                 116,            0.017672,            0.014412,           0.0016106,             0.99545,             0.99224,             0.99491,             0.78053,            0.017775,            0.011211,           0.0010173,           0.0094307,           0.0094307,           0.0094307
                 117,            0.018315,            0.014284,           0.0013572,               0.998,             0.99509,             0.99498,             0.77933,            0.017466,            0.011236,          0.00093819,           0.0094258,           0.0094258,           0.0094258
                 118,            0.018168,            0.014362,           0.0015423,             0.99616,             0.99665,             0.99497,             0.77849,            0.017841,            0.011221,          0.00091634,           0.0094208,           0.0094208,           0.0094208
                 119,            0.017842,            0.013845,           0.0015621,             0.99496,             0.99632,             0.99494,              0.7779,            0.017606,            0.011295,          0.00089173,           0.0094159,           0.0094159,           0.0094159
                 120,              0.0178,            0.013967,            0.001602,             0.99857,             0.99275,             0.99496,             0.77216,            0.017858,            0.011343,          0.00093642,           0.0094109,           0.0094109,           0.0094109
